,id,length,cost/km (millions),cheap?,clength,ctunnel,anglo?,inflation index,real cost (2021 dollars)
0,9501.0,7.5,68.0,1.0,7.5,7.5,0.0,1.079101737506322,550.3418861282242
1,7136.0,5.7,417.05263157894734,0.0,0.0,0.0,1.0,1.079101737506322,2565.2406504000287
2,7137.0,8.6,301.3953488372093,0.0,0.0,0.0,1.0,1.16317603677932,3014.9522873319975
3,7138.0,7.8,592.3076923076924,0.0,0.0,0.0,1.0,1.079101737506322,4985.450027279208
4,7139.0,15.5,464.6012903225806,0.0,0.0,0.0,1.0,1.059896658413421,7632.655004165737
5,7144.0,7.4,635.6756756756756,0.0,0.0,0.0,1.0,1.0469802288156225,4924.994996348688
6,7145.0,9.7,415.46391752577324,0.0,0.0,0.0,0.0,1.2630455352689747,5090.073507133968
7,7146.0,5.8,651.7241379310345,0.0,0.0,0.0,1.0,1.079101737506322,4079.0045677738976
8,7147.0,5.1,344.3137254901961,0.0,0.0,0.0,1.0,1.1802137686524912,2072.4553777537744
9,7152.0,4.2,857.1428571428571,0.0,0.0,0.0,1.0,1.0,3600.0
10,7153.0,4.2,571.4285714285714,0.0,0.0,0.0,1.0,1.0,2400.0
11,7154.0,6.3,444.44444444444446,0.0,0.0,0.0,1.0,1.079101737506322,3021.484865017702
12,7155.0,3.1,566.4516129032257,0.0,0.0,0.0,1.0,1.079101737506322,1894.9026510611016
13,7160.0,2.7,618.5185185185185,0.0,0.0,0.0,1.0,1.144608340091917,1911.4959279535012
14,7161.0,7.6,301.1842105263158,0.0,0.0,0.0,1.0,1.0469802288156225,2396.53774375896
15,7162.0,12.5,139.44,0.0,0.0,0.0,1.0,1.1290087372451638,1967.8622290183205
16,7163.0,9.6,947.9166666666667,0.0,0.0,0.0,1.0,1.0,9100.0
17,7168.0,5.1,134.8686274509804,1.0,5.1,3.1,0.0,1.2426624353377114,854.7405028983379
18,7169.0,3.0,48.69333333333333,1.0,3.0,3.0,0.0,1.144608340091917,167.2043863206272
19,7170.0,17.0,185.92,1.0,17.0,15.3,0.0,1.2426624353377114,3927.608599625784
20,7171.0,1.3,53.630769230769225,1.0,1.3,1.3,0.0,1.144608340091917,79.80209347120845
21,7176.0,12.0,138.33333333333334,1.0,12.0,12.0,0.0,1.079101737506322,1791.3088842604948
22,7177.0,3.1,120.48387096774194,1.0,3.1,3.1,0.0,1.0,373.5
23,7178.0,6.5,505.5846153846154,0.0,0.0,0.0,0.0,1.1802137686524912,3878.5365079226817
24,7179.0,3.1,198.81290322580642,0.0,0.0,0.0,0.0,1.1054585509138382,681.3162140992166
25,7184.0,3.4,194.48470588235293,0.0,0.0,0.0,0.0,1.1054585509138382,730.9822558746736
26,7185.0,4.0,199.85,0.0,0.0,0.0,0.0,1.0469802288156225,836.9559949152086
27,7186.0,6.9,269.66840579710146,0.0,0.0,0.0,0.0,1.1290087372451638,2100.760105496923
28,7187.0,66.7,300.4497751124438,0.0,0.0,0.0,0.0,1.079101737506322,21625.198819626694
29,7193.0,2.5,180.4,0.0,0.0,0.0,0.0,1.1290087372451638,509.1829404975689
30,7194.0,5.0,303.4,0.0,0.0,0.0,0.0,1.1290087372451638,1712.7062544009136
31,7195.0,6.4,285.71875,0.0,0.0,0.0,0.0,1.1290087372451638,2064.505376926507
32,7200.0,11.6,141.49265172413794,0.0,0.0,0.0,0.0,1.079101737506322,1771.145609310772
33,7201.0,6.1,249.02295081967213,0.0,0.0,0.0,0.0,1.1802137686524912,1792.7919231338801
34,7202.0,7.4,483.76216216216216,0.0,0.0,0.0,0.0,1.2426624353377114,4448.532692519353
35,7203.0,27.0,128.55555555555554,0.0,0.0,0.0,0.0,1.1290087372451638,3918.789326977964
36,7208.0,13.2,107.76515151515152,1.0,13.2,13.2,0.0,1.3874551971326166,1973.655017921147
37,7209.0,1.9,129.31578947368422,1.0,1.9,1.9,0.0,1.1290087372451638,277.3974467411368
38,7210.0,3.4,130.0,1.0,3.4,3.4,0.0,1.0469802288156225,462.76526113650516
39,7211.0,13.5,112.76296296296296,1.0,13.5,13.5,0.0,1.16317603677932,1770.7028807891588
40,7212.0,7.0,223.52142857142857,1.0,7.0,7.0,0.0,1.079101737506322,1688.416533589267
41,7216.0,18.0,55.885555555555555,1.0,18.0,8.0,0.0,1.1802137686524912,1187.2242384382869
42,7217.0,4.1,155.52658536585366,1.0,4.1,4.1,0.0,1.1290087372451638,719.922582383014
43,7218.0,11.5,205.20800000000003,1.0,11.5,11.5,0.0,1.1290087372451638,2664.3386869549645
44,7219.0,3.3,181.00545454545454,1.0,3.3,3.3,0.0,1.1290087372451638,674.3772409138068
45,7224.0,7.4,255.4054054054054,1.0,7.4,6.0,0.0,1.3068746322500988,2469.9930549526866
46,7225.0,17.0,52.688235294117646,1.0,17.0,6.0,0.0,1.5300395256916999,1370.4564031620555
47,7226.0,3.2,551.25,0.0,0.0,0.0,1.0,1.1054585509138382,1950.0288838120105
48,7227.0,24.5,254.19510204081635,0.0,0.0,0.0,0.0,1.2426624353377114,7739.028261547493
49,7232.0,13.3,283.91278195488724,0.0,0.0,0.0,0.0,1.079101737506322,4074.731324893373
50,7233.0,6.1,108.26229508196721,1.0,6.1,6.1,0.0,1.2426624353377114,820.6542722970246
51,7234.0,6.5,150.20000000000002,1.0,6.5,6.5,0.0,1.1802137686524912,1152.242702335427
52,7235.0,15.2,145.1125,1.0,15.2,15.2,0.0,1.059896658413421,2337.824658429067
53,7240.0,200.0,234.65,0.0,0.0,0.0,0.0,1.1802137686524912,55387.43216286141
54,7241.0,7.8,152.5,1.0,7.8,7.8,0.0,1.727023581899299,2054.2945506692163
55,7242.0,12.5,362.88,0.0,0.0,0.0,0.0,1.1290087372451638,5121.183632144063
56,7243.0,11.5,214.25478260869565,0.0,0.0,0.0,0.0,1.143251327963817,2816.8912445098877
57,7248.0,17.3,87.84393063583813,1.0,17.3,17.3,0.0,1.5062256809338523,2289.011167315175
