Country,Country Code,Region,WJP Rule of Law Index: Overall Score,Factor 2: Absence of Corruption,Factor 6: Regulatory Enforcement
North Macedonia,MKD,Eastern Europe & Central Asia,0.53,0.45,0.47
Norway,NOR,EU + EFTA + North America,0.90,0.94,0.88
Pakistan,PAK,South Asia,0.39,0.31,0.39
Panama,PAN,Latin America & Caribbean,0.52,0.41,0.51
Paraguay,PRY,Latin America & Caribbean,0.48,0.30,0.47
Peru,PER,Latin America & Caribbean,0.49,0.32,0.48
Philippines,PHL,East Asia & Pacific,0.46,0.44,0.48
Poland,POL,EU + EFTA + North America,0.64,0.72,0.61
Portugal,PRT,EU + EFTA + North America,0.70,0.72,0.61
Romania,ROU,EU + EFTA + North America,0.63,0.55,0.58
Russian Federation,RUS,Eastern Europe & Central Asia,0.46,0.42,0.48
Rwanda,RWA,Sub-Saharan Africa,0.62,0.65,0.59
Senegal,SEN,Sub-Saharan Africa,0.55,0.54,0.55
Serbia,SRB,Eastern Europe & Central Asia,0.49,0.43,0.47
Sierra Leone,SLE,Sub-Saharan Africa,0.44,0.36,0.36
Singapore,SGP,East Asia & Pacific,0.78,0.91,0.86
Slovak Republic,SVK,EU + EFTA + North America,0.66,0.51,0.65
Slovenia,SVN,EU + EFTA + North America,0.68,0.66,0.65
South Africa,ZAF,Sub-Saharan Africa,0.58,0.48,0.55
Spain,ESP,EU + EFTA + North America,0.73,0.74,0.71
Sri Lanka,LKA,South Asia,0.50,0.49,0.50
St. Kitts and Nevis,KNA,Latin America & Caribbean,0.63,0.65,0.61
St. Lucia,LCA,Latin America & Caribbean,0.62,0.63,0.59
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,0.64,0.69,0.55
Sudan,SDN,Sub-Saharan Africa,0.42,0.40,0.36
Suriname,SUR,Latin America & Caribbean,0.49,0.44,0.45
Sweden,SWE,EU + EFTA + North America,0.86,0.90,0.84
Tanzania,TZA,Sub-Saharan Africa,0.47,0.42,0.44
Thailand,THA,East Asia & Pacific,0.50,0.47,0.46
Togo,TGO,Sub-Saharan Africa,0.45,0.43,0.49
