,country,city,phase,start_year,end_year,rr,length,tunnelper,tunnel,elevated,atgrade,stations,platform_length_meters,anglo,real_cost_2021,cost_km_2021
534,EG,Cairo,Line 1,1982,1987,1.0,44,0.1431818181818182,6.3,0,0,35,,0.0,5802.240536971832,131.86910311299616
535,EG,Cairo,Line 2,1993,2005,0.0,22,0.4318181818181818,9.5,0,0,20,,0.0,13458.31541218638,611.7416096448355
537,EG,Cairo,Line 3 Phase 1,2006,2012,0.0,4.3,1,4.3,0,0,5,,0.0,3789.136605806924,881.1945594899825
541,EG,Cairo,Line 4 (4 Phases),2019,2027,0.0,19,0.5568452380952381,10.580059523809524,,,17,,0.0,13736.260693037937,722.9610891072598
543,EG,Cairo,Line 6,2017,2025,0.0,21,0.6523809523809524,13.7,0,0,24,,0.0,13707.686031331594,652.746953872933
544,KW,Kuwait City,Kuwait Metro,2020,2025,0.0,160,0.35,56,0,0,68,,0.0,31828.19895599492,198.92624347496826
545,CN,Shanghai,Line 15,2016,2021,0.0,42.3,1,42.3,,,30,138,0.0,12028.294462424263,284.35684308331594
546,CN,Shanghai,Line 14,2014,2021,0.0,38.15,1,38.15,,,31,184,0.0,13879.447,363.81250327654
547,CN,Shanghai,Line 16,2010,2014,0.0,58.96,0.23219131614654,13.69,45.3992,0,33.63905920054734,,0.0,6770.024947719851,114.82403235617116
553,CN,Shenzhen,Line 7,2011,2016,0.0,30.2,1,30.2,0,0,28,,0.0,8534.394731903314,282.5958520497786
557,CN,Shenzhen,Line 8 Phase 2,2019,2024,0.0,8.023,1,8.023,,,4,138,0.0,1509.524,188.1495699862894
558,CN,Guangzhou,Line 13 Phase 1,2013,2017,0.0,27.03,1,27.03,0,0,11,,0.0,6045.460890979883,223.6574506466845
559,CN,Guiyang,Line 1 Phase 1,2013,2017,0.0,34.3,0.8454810495626823,29,5.14,0.348,25,,0.0,7221.111411747441,210.52802949700995
560,CN,Wuhan,Line 4 Phase 1,2009,2014,0.0,15.4,1,15.4,0,0,15,,0.0,3763.623085994491,244.39110948016173
561,CN,Chengdu,Line 8 Phase 1,2021,2026,0.0,29.1,1,29.1,,,25,138,0.0,5992.831649514779,205.93923194208864
562,CN,Chengdu,Line 9 Phase 1,2016,2020,0.0,22.2,1,22.2,0,0,13,,0.0,5350.960021650249,241.03423520947064
563,CN,Chengdu,Line 10 Phase 2,2016,2020,0.0,26.7,0.3895131086142322,10.4,16.554,0,9,138,0.0,3728.162975746541,139.63157212533864
564,TR,Istanbul,M3 Phase 2,2015,2023,0.0,8.9,1,8.4,0,0,8,180,0.0,1058.8367617550077,118.97042266910198
565,TR,Istanbul,M8,2016,2022,0.0,14.3,1,14.3,0,0,11,100,0.0,2019.103134277567,141.19602337605363
566,TR,Istanbul,M5 Phase 2-M13,2016,2027,0.0,17.8,1,17.8,0,0,13,140,0.0,2089.056313732853,117.36271425465466
567,TR,Istanbul,M12 ,2017,2023,0.0,13,1,13,0,0,11,100,0.0,2411.614259053905,185.50878915799268
568,TR,Istanbul,M11 Phase 1,2016,2022,0.0,37.5,1,37.5,0,0,9,180,0.0,3593.0496720214974,95.81465792057327
569,TR,Istanbul,M11 Phase 2,2018,2022,0.0,32,1,32,0,0,7,180,0.0,3164.8118356638633,98.90036986449573
570,UZ,Tashkent,Sergeli Line,2017,2020,0.0,6.94,0,0,6.94,0,6,,0.0,767.241335366995,110.55350653703098
571,UZ,Tashkent,Yunusabad Line extension,2017,2020,0.0,2.9,1,2.9,0,0,2,,0.0,673.359484203945,232.19292558756726
572,AT,Vienna,Lainz Tunnel,1999,2012,1.0,12.8,1,12.8,0,0,0,,0.0,2254.614695340502,176.1417730734767
573,BR,Rio de Janeiro,Line 4,2010,2016,0.0,16,0.96,15.4,0,0,7,,0.0,7068.620775507928,441.7887984692455
574,BR,Salvador,SkyRail Bahia,2020,2022,0.0,23.3,0,0,0,0,26,,0.0,1584.6999999999998,68.01287553648068
575,BR,Sao Paulo,Line 17,2012,2021,0.0,7.7,0,0,0,0,8,,0.0,3375.7361243630394,438.4072888783168
576,CA,Calgary,Green Line stage 1,2021,2027,0.0,20,0.2,4,0,0,15,,1.0,4620.0,231.0
577,CA,Vancouver,Millennium Line Phase 1,1998,2002,0.0,19.9,0,0,0,0,13,,1.0,1529.5170731707321,76.86015443069006
578,CA,Vancouver,Canada Line,2005,2009,0.0,18.4,0.49,9.1,0,0,16,,1.0,2196.856256812416,119.3943617832835
579,CA,Vancouver,Evergreen Line,2012,2016,0.0,10.9,0.18,2,0,0,6,,1.0,1325.7998403284676,121.63301287417133
580,DE,Hamburg,U5-East,2021,2030,0.0,5.8,0.93,5.4,0,0,5,,0.0,2275.0,392.2413793103448
581,FR,Rennes,Line B,2014,2021,0.0,14,0.79,11,0,0,15,,0.0,1826.5617071917352,130.46869337083822
582,HK,Hong Kong,Tung Chung Line extension,2023,2029,0.0,1.8,1,1.8,0,0,1,,0.0,3559.5613269612977,1977.534070534054
583,HK,Hong Kong,West Island Line,2009,2016,0.0,3,1,3,0,0,3,,0.0,4004.3472956610376,1334.7824318870125
584,HK,Hong Kong,Airport Railway,1994,1998,0.0,34,0.2353,8,6,20,9,200,0.0,10986.2878138942,323.1261121733588
585,HK,Hong Kong,Quarry Bay Congestion Relief Works (Kwung Tung Extension),1997,2001,0.0,2.1,1,2.1,0,0,0,,0.0,919.1673235294119,437.6987254901961
586,HK,Hong Kong,Tseung Kwan O Extension,1999,2002,0.0,4,1,4,0,0,5,200,0.0,4748.426666666667,1187.1066666666668
587,HK,Hong Kong,Penny's Bay Rail Link (Disneyland Resort Line),2001,2005,0.0,3.5,0.25,0.875,0,2.625,2,,0.0,622.9364673913044,177.98184782608698
588,HK,Hong Kong,South Island Line (East),2011,2016,0.0,7,0.71,5,2,0,5,,0.0,3544.278806389162,506.32554376988037
589,HK,Hong Kong,Kwun Tong Line extension,2011,2016,0.0,2.6,1,2.6,0,0,2,,0.0,1509.988603905442,580.7648476559392
590,HK,Hong Kong,Tuen Mun South Extension,2023,2030,0.0,2.4,0,0,0,0,2,,0.0,2235.170671302059,931.3211130425245
591,HK,Hong Kong,Sha Tin-Central Link,2012,2022,1.0,17,0.88,15,0,0,9,,0.0,16058.68684073107,944.628637690063
592,HK,Hong Kong,Modified Initial System,1975,1980,0.0,15.6,0.821,12.8,2.8,0,15,200,0.0,23080.74570747525,1479.5349812484135
593,HK,Hong Kong,Tsuen Wan Extension,1978,1982,0.0,10.5,0.8,8.4,2,0.1,10,200,0.0,7963.065105582526,758.3871529126214
594,HK,Hong Kong,Island Line,1981,1986,0.0,12.5,0.84,10.5,2,0,14,200,0.0,11678.49032421687,934.2792259373496
595,HK,Hong Kong,Eastern Harbour Crossing,1986,1989,0.0,4.6,1,4.6,0,0,1,200,0.0,1127.071091408451,245.01545465401108
596,IN,Delhi,Noida Metro,2015,2019,0.0,29.7,0,0,0,0,21,,0.0,2260.9722650130548,76.12701229000186
597,IN,Jaipur,Phase 1,2011,2020,0.0,12.1,0.23,2.8,0,0,11,,0.0,2427.7786386531466,200.64286269860716
598,IN,Lucknow,Line 1,2014,2019,0.0,22.9,0.15,3.4,0,0,22,,0.0,3910.8862658172475,170.78105964267456
599,IT,Brescia,Metro,2003,2013,0.0,13.7,0.71,9.7,0,0,17,40,0.0,1171.4601097058567,85.50803720480707
603,IT,Naples,Line 1 - city center,1999,2021,0.0,4.3,1,4.3,0,0,5,110,0.0,2512.044011096606,584.1962816503734
604,IT,Naples,Line 1 airport extension,2014,2024,0.0,3.5,1,3.5,0,0,4,110,0.0,898.3684076712157,256.67668790606166
605,IT,Naples,Line 6 (Mostra-Municipio),2002,2021,0.0,3.3,1,3.3,0,0,4,80,0.0,1237.1629197249033,374.89785446209197
606,IT,Turin,Line 2 -phase 1-2,2024,2030,0.0,9.4,1,9.4,0,0,13,60,0.0,2488.0438157574454,264.6855123146218
607,JP,Osaka,Hanshin Namba Line,2003,2009,1.0,3.8,1,3.8,0,0,3,,0.0,1370.979166666667,360.78399122807025
608,RS,Belgrade,Metro Line 1,2021,2026,0.0,22,1,22,0,0,24,,0.0,5490.0,249.54545454545453
609,RS,Belgrade,Metro Line 2,2021,2026,0.0,20,1,20,0,0,21,,0.0,6710.0,335.5
610,SE,Gothenburg,West Link,2018,2026,1.0,8,0.75,6,0,0,3,,0.0,2829.2219990025033,353.6527498753129
611,TW,Taipei,"System to 2012, ex-Neihu",1988,2012,0.0,93.90000000000002,0.65,60.89999999999999,0,0,92,,0.0,58228.32221073172,620.1099276968233
612,TW,Taipei,Neihu Line,2002,2009,0.0,14.8,0.26,3.8,0,0,12,,0.0,5869.78127655914,396.6068430107527
613,TW,Taipei,Xinyi Line,2002,2013,0.0,6.5,1,6.5,0,0,7,,0.0,3384.282547674856,520.6588534884394
614,TW,Taipei,Xinyi Line East Extension,2016,2022,0.0,1.4,1,1.4,0,0,1,,0.0,633.3942430678604,452.42445933418605
615,US,Honolulu,HART,2011,2026,0.0,32,0,0,0,0,21,,1.0,12270.465857184388,383.45205803701214
616,US,Los Angeles,Crenshaw/LAX Line,2014,2021,0.0,13.7,0.34,4.7,0,0,9,,1.0,2321.46295691906,169.44985087000438
617,US,Miami,Metrorail extension to MIA,2009,2012,0.0,3.9,0,0,3.9,0,1,,1.0,628.787192280882,161.22748520022614
618,US,Seattle,West Seattle and Ballard,2026,2036,0.0,19,0.32,6,0,0,13,,1.0,12920.783003813596,680.0412107270314
619,US,Washington,Silver Line Phase 1,2009,2014,0.0,18.8,0.04,0.7,0,0,5,,1.0,3592.229626698794,191.07604397334012
620,US,Washington,Silver Line Phase 2,2013,2022,0.0,18.3,0,0,0,0,6,,1.0,3371.648580287206,184.24309181897303
621,TR,Adana,First stage,1996,2010,0.0,13.9,0.25,3.5,0,0,13,,0.0,1435.4958333333336,103.2730815347722
622,TR,Istanbul,M6,2013,2015,0.0,3.3,1,3.3,0,0,4,90,0.0,285.2363983509057,86.43527222754719
623,TR,Istanbul,M3 Phase 3,2017,2022,0.0,6.2,1,6.2,0,0,4,180,0.0,711.391656073351,114.74058968925016
624,TR,Istanbul,M7 Phase 3,2017,2027,0.0,18.5,0.972972972972973,18,0,0,11,180,0.0,3096.7476509885596,167.3917649183005
625,TR,Istanbul,M9,2016,2023,0.0,13.4,1,13.4,0,0,12,90,0.0,1336.0619397939038,99.70611490999282
626,TR,Istanbul,M1A-M1B (LR),1987,2014,0.0,26.6,0.3646616541353383,9.7,0,0,23,100-140,0.0,3053.369268292684,114.7883183568678
627,DE,Munich,Second Trunk Line,2016,2028,1.0,7.2,1,7.2,0,0,3,210,0.0,5440.266315960297,755.5925438833747
628,TR,Istanbul,M1B,2017,2027,0.0,9.7,0.95,9.3,0,0,10,125,0.0,2715.657317501961,279.9646719074187
629,TR,Istanbul,M4 P4-M10,2017,2024,0.0,14,1,14,0,0,8,180,0.0,1188.5319557514947,84.89513969653534
630,PL,Łódź,Cross-City Line,2018,2023,1.0,5.25,1,5.25,0,0,2,,0.0,1033.7463987233932,196.90407594731298
631,FR,Paris,RER D Gare de Lyon-Les Halles,1991,1995,1.0,2.5,1,2.5,0,0,0,,0.0,590.9060461956523,236.3624184782609
632,TW,Taipei,Keelung MRT,2023,2032,0.0,16,0.1,1.6,12.8,1.6,13,,0.0,2822.0,176.375
633,CZ,Prague,Line C to Letnany,2004,2008,0.0,4.6,1,4.6,0,0,3,97,0.0,1391.1406250000002,302.4218750000001
634,CZ,Prague,Line D,2021,2029,0.0,10.5,0.9,9.5,1,0,10,97,0.0,5664.8,539.504761904762
635,DE,Munich,U3 to Moosach,2004,2010,0.0,1.7,1,1.7,0,0,2,120,0.0,294.0467922562722,172.96870132721895
